images_path,images_label,images_predicted_label
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-1058.png,pneumonia,normal
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-1337.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-625.png,pneumonia,covid
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-1167.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-681.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-1217.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-979.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-1017.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-1029.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-283.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-16.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-707.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-955.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-1089.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-116.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-1018.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-770.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-550.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-1110.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-697.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-310.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-541.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-503.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-769.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-1049.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-901.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-554.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-595.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-348.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-515.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-911.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-768.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-496.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-978.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-458.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-1342.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-39.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-435.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-599.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-261.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-802.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-721.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-936.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-25.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-533.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-696.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-79.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-1136.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-1117.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-136.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-671.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-95.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-23.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-501.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-1088.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-637.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-935.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-693.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-823.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-245.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-251.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-551.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-27.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-448.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-389.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-1317.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-843.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-1240.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-692.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-1168.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-197.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-500.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-1211.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-674.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-82.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-508.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-743.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-688.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-711.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-172.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-716.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-571.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-886.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-919.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-505.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-902.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-100.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-490.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-701.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-422.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-484.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-274.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-518.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-665.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-203.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-1335.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-1233.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-339.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-121.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-1038.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-204.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-431.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-377.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-754.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-575.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-534.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-213.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-342.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-278.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-1080.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-1066.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-152.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-737.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-917.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-1265.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-80.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-99.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-110.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-731.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-447.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-1197.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-576.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-906.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-135.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-1064.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-85.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-817.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-323.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-327.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-636.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-939.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-382.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-1250.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-436.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-249.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-1142.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-219.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-1212.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-68.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-1153.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-52.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-952.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-1306.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-149.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-1158.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-1267.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-502.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-1332.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-904.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-771.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-439.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-577.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-344.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-1329.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-425.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-1164.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-849.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-751.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-1119.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-94.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-11.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-374.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-131.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-49.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-1199.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-48.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-474.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-8.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-1027.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-672.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-1111.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-417.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-91.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-859.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-1180.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-473.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-292.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-787.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-1185.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-419.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-765.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-1107.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-117.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-1310.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-1008.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-644.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-542.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-44.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-260.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-1087.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-932.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-987.png,pneumonia,pneumonia
